Unique bug id,Unique bug name,Commit/Bugzilla ID
l-13,UB pointer-offset-overflow,beaec533fc2701a28a4d667f67c9f59c6e4e0d13
l-8,UB elimi-shift,d50f2ab6f050311dbf7b8f5501b25f0bf64a439b
l-16,UB nonull ptr assumption,02828845dda5ccf921ab2557c6ca17b6e7fc70e2
l-2,UB modify const var,86092
l-5,UB data race,f4519fd9375d310c608f9a47e4f3a0579bc94998
l-40,UB reorder breaks code's atomicity,dc5d17a3c39b06aef866afca19245a9cfb533a79
l-47,UB unaligned access,778aaefb8e864fc61f850539ea479554dd4caea1
l-46,UB race and reorder,16f5e707d6f6f7644ff07e583b8f18c3dcc5499f
l-30,UB concurrency access to global between 2 func call (which contains access to same global),45a94d7cd45ed991914011919e7d40eb6d2546d1
l-48,DB reorder(bpf),0f20615d64ee2ad5e2a133a812382d0c4071589b
l-20,DB invention of unaligned mem access,86c38a31aa7f2dd6e74a262710bf8ebf7455acc5
l-44,DB byte-wide->word-wide,8c031ba63f8f2a9efc471cb45b2ff18271556544
l-15,DB transfer mem load to reg load,455bd4c430b0c0a361f38e8658a0d6cb469942b5
l-19,condItional load->non-condItional load,69102311a57d1fd65cdc4002c55c5d551c799044
l-38,reorder CPU check,067e710b9a982a92cc8294d7fa0f1e924c65bba1
l-43,env:built in replace,ede6b6bc43c68ef030f88235e91e85939b8bdb49
l-23,env: transfer memcpy to unaligned ldx,04ef0f1a0169a14b8e653af1178524ab4390133f
l-18,env varient->memcpy->unaligned ldx,1bd46782d08b01b73df0085b51ea1021b19b44fd
l-41,env: implicit change between 2 same check,94f6bac1058fd59a8bd472d18c4b77f220d930b0
l-35,env: implicit read between 2 stores,51bcf092917bfaa88d762879d0bbfe7619e8c16c
l-49,store tearing->race,9c14791748708d87c4d02ba74eb7e281e141d6e4
l-3,eliminate local variable,20b50d79974ea3192e8c3ab7faf4e536e5f14d8f
l-21,break atomicity(load tearing),9bc4f28af75a91aea0ae383f50b0a430c4509303
l-4,data race,b6a9b7f6b1f21735a7456d534dc0e68e61359d2c
l-9,DSE-memset,7185ad2672a7d50bc384de0e38d90b75d99f3d82
l-11,padding copied to user space,f729a1b0f8df7091cea3729fc0e414f5326e1163
l-29,part of union not init,a45e92a599e77ee6a850eabdd0141633fde03915
l-6,time side channel,613317bd212c585c20796c10afe5daaa95d4b0a1
l-37,noop loop for time order(concurrency),8690ba446defe2e2b81803756c099d2943dfd5fd
l-25,switch jump table,a9d57ef15cbe327fe54416dd194ee0ea66ae53a4
